,Channel,Growth revenue 2020,Growth Quota 2020,Base Revenue 2020,Base Quota 2020,PE Margin Actuals 2020,PE Margin Quota 2020,Growth Attainment 2020,Base Attainment 2020,PE Margin Attainment 2020
0,2020 Annual,,,,,,,,,
2,OS Channel,6292934.90562,18200000,382201878.13387007,1050117824.72959,90794118.59,119598654.75,34.57656541549451,36.39609471749408,75.91566876716898
3,IS Channel,1397574.78333,5950000,58714895.98,181232411.34577,27768392.96,43649141.07,23.488651820672267,32.39756925596433,63.617272366179925
4,SMB,237226.84999999998,560000,0,0,0,0,42.361937499999996,0,0
5,,,,,,,,,,
6,2020 Q1,,,,,,,,,
8,OS Channel,4506465.48562,4550000,232528522.992,233212002.03621998,71034141.61,64923923.629999995,99.04319748615386,99.70692801474522,109.41135045198746
9,IS Channel,773715.85333,1487500,38482089.98,43059252.28788,22338107.39,23874885.25,52.014511148235286,89.3700840941719,93.5632031571754
10,SMB,59840.270000000004,140000,0,0,0,0,42.743050000000004,0,0
11,,,,,,,,,,
12,2020 Q2,,,,,,,,,
14,OS Channel,1786469.42,4550000,149673355.14187002,263851341.32351997,19759976.98,54674731.08,39.26306417582418,56.726395397910366,36.14096784689663
15,IS Channel,623858.93,1487500,20232806,47023612.84435,5430285.57,19774255.82,41.94009613445379,43.02690664575557,27.461390301766613
16,SMB,177386.58000000002,140000,0,0,0,0,126.7047,0,0
