Indicator Name,Country Name,Year,Value
Senior Director National Field Sales,Total Payout,2020,19202.92949
Outside Sales Director - Central Canada,Total Payout,2020,11207.88746
Regional Sales Manager AE,Total Payout,2020,10095.9408
Senior Account Executive,Total Payout,2020,10418.76623
Account Executive,Total Payout,2020,19878.23324
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,18529.55769
Account Executive,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,4895
Account Executive,Total Payout,2020,11608.91677
Account Executive,Total Payout,2020,2338.875
Regional Sales Manager AE,Total Payout,2020,12267.62074
Account Executive,Total Payout,2020,6800.625
Account Executive,Total Payout,2020,2162.875
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,1363.87
Senior Account Executive,Total Payout,2020,11314.76227
Senior Account Executive,Total Payout,2020,17801.54504
Regional Sales Manager AE,Total Payout,2020,4167
Senior Account Executive,Total Payout,2020,6858.5
Account Executive,Total Payout,2020,1433.68
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,16791.99215
Account Executive,Total Payout,2020,2766.5
Account Executive,Total Payout,2020,8250.71224
Account Executive,Total Payout,2020,2585
Outside Sales Director,Total Payout,2020,0
Regional Sales Manager AE,Total Payout,2020,1553.66182
Senior Account Executive,Total Payout,2020,8935.88568
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,1364.13
Account Executive,Total Payout,2020,1648.44
Senior Account Executive PQ Govt. Rep.,Total Payout,2020,5549.5
Account Executive,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,1283.92
Account Executive,Total Payout,2020,0
Regional Sales Manager AE,Total Payout,2020,2333.25
Account Executive,Total Payout,2020,8523.49958
Account Executive,Total Payout,2020,4419.3125
Account Executive,Total Payout,2020,10850.06094
Account Executive,Total Payout,2020,3366.86
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,9058.3907
Account Executive,Total Payout,2020,0
Inside Sales Director,Total Payout,2020,1053.585
Inside Sales Manager,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,600
Inside Sales Representative,Total Payout,2020,1074.25164
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,600
Inside Sales Account Manager,Total Payout,2020,1690.84567
Inside Sales Representative,Total Payout,2020,915.52873
Inside Sales Account Manager,Total Payout,2020,1702.50567
Inside Sales Account Manager,Total Payout,2020,1288.28233
Inside Sales Representative,Total Payout,2020,1027.6
Inside Sales Manager,Total Payout,2020,686.106
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Account Manager,Total Payout,2020,5.94
Inside Sales Representative,Total Payout,2020,0
Inside Sales Account Manager,Total Payout,2020,1596.978
Inside Sales Representative,Total Payout,2020,0
Inside Sales Manager - Hunter,Total Payout,2020,3163.60683
Inside Sales Account Manager Hunter,Total Payout,2020,1452.54429
Inside Sales Account Manager Hunter,Total Payout,2020,4640.72772
Inside Sales Account Manager Hunter,Total Payout,2020,1498.80633
Inside Sales Account Manager Hunter,Total Payout,2020,3706.51746
Inside Sales Manager - ISR,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,311.29309
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,446.03927
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,430.42036
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,344.30836
Inside Sales Representative,Total Payout,2020,441.84145
Inside Sales Manager,Total Payout,2020,239.184
Inside Sales Account Manager,Total Payout,2020,375.44733
Inside Sales Account Manager,Total Payout,2020,1657.35
Inside Sales Account Manager,Total Payout,2020,120.88
Inside Sales Account Manager,Total Payout,2020,90.124
Inside Sales Account Manager,Total Payout,2020,68.64
Inside Sales Representative,Total Payout,2020,0
Inside Sales Account Manager,Total Payout,2020,443.72833
Inside Sales Representative,Total Payout,2020,0
Inside Sales Account Manager,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Manager,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Outside Sales Director,Total Payout,2020,0
Regional Sales Manager AE,Total Payout,2020,1627.12364
Account Executive,Total Payout,2020,10224.32512
Account Executive,Total Payout,2020,10691.19746
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,1507.65
Account Executive,Total Payout,2020,1007.02
Account Executive,Total Payout,2020,1521.82
Account Executive,Total Payout,2020,1429.26
Account Executive,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,0
Regional Sales Manager AE,Total Payout,2020,0
Account Executive,Total Payout,2020,2356.0625
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,7152.75
Account Executive,Total Payout,2020,16207.52648
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,9782.38113
Outside Sales Director,Total Payout,2020,0
Regional Sales Manager AE,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,12249.08
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Sales Executive,Total Payout,2020,645.75551
Retail Sales Director,Total Payout,2020,20994.78059
Regional Sales Manager AE,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,15432.96518
Senior Account Executive,Total Payout,2020,4826.25
Senior Account Executive,Total Payout,2020,1070.07
Senior Account Executive,Total Payout,2020,18325.58108
Senior Sales Executive,Total Payout,2020,55938.05272
Senior Sales Executive,Total Payout,2020,18850.01111
Health Care Sales Director,Total Payout,2020,4374.57673
Regional Sales Manager AE,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,10434.43548
Account Executive,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,10424.12517
Senior Account Executive,Total Payout,2020,8843.29467
Senior Sales Executive,Total Payout,2020,4411.26267
SMB Manager,Total Payout,2020,0
SMB Representative,Total Payout,2020,703.15042
SMB Representative,Total Payout,2020,0
SMB Representative,Total Payout,2020,0
SMB Representative,Total Payout,2020,643.25565
SMB Representative,Total Payout,2020,0
SMB Representative,Total Payout,2020,0
SMB Representative,Total Payout,2020,0
Outside Sales Director,Total Payout,2020,0
Regional Sales Manager SE,Total Payout,2020,11749.91586
Sales Executive,Total Payout,2020,21773.07942
Senior Sales Executive,Total Payout,2020,3417.11936
Sales Executive,Total Payout,2020,2093.05274
Senior Sales Executive,Total Payout,2020,49.76901
Sales Executive,Total Payout,2020,7629.29011
Senior Director National Field Sales,Total Payout,2020,1786.46942
Outside Sales Director - Central Canada,Total Payout,2020,0
Regional Sales Manager AE,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Regional Sales Manager AE,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,9597.55524
Regional Sales Manager AE,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Outside Sales Director,Total Payout,2020,0
Regional Sales Manager AE,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Senior Account Executive PQ Govt. Rep.,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Regional Sales Manager AE,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Inside Sales Director,Total Payout,2020,765.44
Inside Sales Manager,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Account Manager,Total Payout,2020,1516.964
Inside Sales Representative,Total Payout,2020,0
Inside Sales Account Manager,Total Payout,2020,191.84
Inside Sales Account Manager,Total Payout,2020,43.468
Inside Sales Representative,Total Payout,2020,0
Inside Sales Manager,Total Payout,2020,425.796
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Account Manager,Total Payout,2020,0.26
Inside Sales Representative,Total Payout,2020,0
Inside Sales Account Manager,Total Payout,2020,974.19
Inside Sales Representative,Total Payout,2020,0
Inside Sales Manager - Hunter,Total Payout,2020,1675.91018
Inside Sales Account Manager Hunter,Total Payout,2020,617.9785
Inside Sales Account Manager Hunter,Total Payout,2020,1593.12
Inside Sales Account Manager Hunter,Total Payout,2020,2566.6995
Inside Sales Account Manager Hunter,Total Payout,2020,1207.5955
Inside Sales Manager - ISR,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Inside Sales Manager,Total Payout,2020,455.976
Inside Sales Account Manager,Total Payout,2020,2908.38
Inside Sales Account Manager,Total Payout,2020,138.04
Inside Sales Account Manager,Total Payout,2020,51.78
Inside Sales Account Manager,Total Payout,2020,300.979
Inside Sales Account Manager,Total Payout,2020,170.96
Inside Sales Representative,Total Payout,2020,0
Inside Sales Account Manager,Total Payout,2020,281.48
Inside Sales Representative,Total Payout,2020,0
Inside Sales Account Manager,Total Payout,2020,21.128
Inside Sales Representative,Total Payout,2020,0
Inside Sales Manager,Total Payout,2020,0
Inside Sales Representative,Total Payout,2020,0
Outside Sales Director,Total Payout,2020,0
Regional Sales Manager AE,Total Payout,2020,0
Account Executive,Total Payout,2020,1468.91
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,0
Regional Sales Manager AE,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Outside Sales Director,Total Payout,2020,0
Regional Sales Manager AE,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Sales Executive,Total Payout,2020,61.7875
Retail Sales Director,Total Payout,2020,6308.53193
Regional Sales Manager AE,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,31126.55764
Account Executive,Total Payout,2020,10633.15002
Senior Account Executive,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,0
Senior Sales Executive,Total Payout,2020,39086.02675
Senior Sales Executive,Total Payout,2020,4723.22275
Health Care Sales Director,Total Payout,2020,37.41955
Regional Sales Manager AE,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,0
Account Executive,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,0
Senior Account Executive,Total Payout,2020,0
Senior Sales Executive,Total Payout,2020,133.64125
SMB Manager,Total Payout,2020,0
SMB Representative,Total Payout,2020,2335.1382
SMB Representative,Total Payout,2020,0
SMB Representative,Total Payout,2020,0
SMB Representative,Total Payout,2020,1656.05985
SMB Representative,Total Payout,2020,0
SMB Representative,Total Payout,2020,0
SMB Representative,Total Payout,2020,0
Outside Sales Director,Total Payout,2020,0
Regional Sales Manager SE,Total Payout,2020,115.01516
Sales Executive,Total Payout,2020,396.9645
Senior Sales Executive,Total Payout,2020,226.61225
Sales Executive,Total Payout,2020,23.58375
Senior Sales Executive,Total Payout,2020,10.351
Sales Executive,Total Payout,2020,61.33325
Senior Director National Field Sales,Total Payout,2020,
Outside Sales Director - Central Canada,Total Payout,2020,
Regional Sales Manager AE,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Regional Sales Manager AE,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Regional Sales Manager AE,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Outside Sales Director,Total Payout,2020,
Regional Sales Manager AE,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Senior Account Executive PQ Govt. Rep.,Total Payout,2020,
Account Executive,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Regional Sales Manager AE,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Inside Sales Director,Total Payout,2020,
Inside Sales Manager,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Account Manager,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Account Manager,Total Payout,2020,
Inside Sales Account Manager,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Manager,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Account Manager,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Account Manager,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Manager - Hunter,Total Payout,2020,
Inside Sales Account Manager Hunter,Total Payout,2020,
Inside Sales Account Manager Hunter,Total Payout,2020,
Inside Sales Account Manager Hunter,Total Payout,2020,
Inside Sales Account Manager Hunter,Total Payout,2020,
Inside Sales Manager - ISR,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Manager,Total Payout,2020,
Inside Sales Account Manager,Total Payout,2020,
Inside Sales Account Manager,Total Payout,2020,
Inside Sales Account Manager,Total Payout,2020,
Inside Sales Account Manager,Total Payout,2020,
Inside Sales Account Manager,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Account Manager,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Account Manager,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Inside Sales Manager,Total Payout,2020,
Inside Sales Representative,Total Payout,2020,
Outside Sales Director,Total Payout,2020,
Regional Sales Manager AE,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Regional Sales Manager AE,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Outside Sales Director,Total Payout,2020,
Regional Sales Manager AE,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Sales Executive,Total Payout,2020,
Retail Sales Director,Total Payout,2020,
Regional Sales Manager AE,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Senior Sales Executive,Total Payout,2020,
Senior Sales Executive,Total Payout,2020,
Health Care Sales Director,Total Payout,2020,
Regional Sales Manager AE,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Senior Sales Executive,Total Payout,2020,
SMB Manager,Total Payout,2020,
SMB Representative,Total Payout,2020,
SMB Representative,Total Payout,2020,
SMB Representative,Total Payout,2020,
SMB Representative,Total Payout,2020,
SMB Representative,Total Payout,2020,
SMB Representative,Total Payout,2020,
SMB Representative,Total Payout,2020,
Outside Sales Director,Total Payout,2020,
Regional Sales Manager SE,Total Payout,2020,
Sales Executive,Total Payout,2020,
Senior Sales Executive,Total Payout,2020,
Sales Executive,Total Payout,2020,
Senior Sales Executive,Total Payout,2020,
Sales Executive,Total Payout,2020,
Senior Director National Field Sales,Total Payout,2020,
Outside Sales Director - Central Canada,Total Payout,2020,
Regional Sales Manager AE,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Regional Sales Manager AE,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Account Executive,Total Payout,2020,
Senior Account Executive,Total Payout,2020,
